#Org,Prog,Econ,CÓDIGO PARTIDA,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,CRÉDITO INICIAL,MODIFICACIONES DE CRÉDITO,CRÉDITO TOTAL,TOTAL O
1.0,011,31000,011/31000,Intereses de Deuda Pública de Operaciones de Créd,1.0,011,3,15000.0,0.0,15000.0,355.24
1.0,011,31001,011/31001,Intereses de Deuda a Corto Plazo,1.0,011,3,20000.0,0.0,20000.0,0.0
1.0,011,31100,011/31100,Gastos de Apertura de Operaciones de Crédito,1.0,011,3,4000.0,0.0,4000.0,0.0
1.0,011,35200,011/35200,Intereses de Demora Generales,1.0,011,3,6000.0,0.0,6000.0,749.9
1.0,011,91100,011/91100,Amortización Prestamo IDAE,1.0,011,9,113443.29,0.0,113443.29,150636.13
1.0,011,91300,011/91300,Amortización Prestamo BBVA,1.0,011,9,180000.0,0.0,180000.0,31850.75
1.0,130,10000,130/10000,Retribuciones Altos Cargos,1.0,130,1,0.0,10500.0,10500.0,4500.01
1.0,130,12000,130/12000,Retribuciones Básicas Policia Local,1.0,130,1,103733.0,0.0,103733.0,0.0
1.0,130,12004,130/12004,Retribuciones Básicas Policia Local  Grupo C2,1.0,130,1,0.0,0.0,0.0,46871.88
1.0,130,12006,130/12006,Trienios  Policia Local,1.0,130,1,0.0,0.0,0.0,9692.09
1.0,130,12100,130/12100,Retribuciones Complementarias Policia Local ( Destino),1.0,130,1,245000.0,0.0,245000.0,30260.79
1.0,130,12101,130/12101,Retribuciones Complementarias Policia Local ( Especifico ),1.0,130,1,0.0,0.0,0.0,111429.73
1.0,130,12103,130/12103,Retribuciones  Complemen Funcionarios. (Otros),1.0,130,1,0.0,0.0,0.0,0.0
1.0,130,13000,130/13000,Retribuciones Personal Laboral Fijo,1.0,130,1,11250.0,0.0,11250.0,7231.3
1.0,130,13100,130/13100,Retribuciones Personal Laboral Temporal,1.0,130,1,0.0,0.0,0.0,3011.48
1.0,130,15100,130/15100,Gratificaciones Policía Municipal,1.0,130,1,3000.0,0.0,3000.0,434.76
1.0,130,16000,130/16000,Seguridad Social Policía Municipal,1.0,130,1,103530.0,3417.75,106947.75,70020.62
1.0,130,20300,130/20300,Alquiler de Maquinaria e Instalaciones de Seguridad,1.0,130,2,0.0,0.0,0.0,0.0
1.0,130,21200,130/21200,Reparación y Mantenimiento Edificios,1.0,130,2,3000.0,0.0,3000.0,1375.1
1.0,130,21300,130/21300,"REM Reparación Maquinaria, Instalaciones y Utillaje",1.0,130,2,0.0,50.43,50.43,50.43
1.0,130,21300,130/21300,"Reparación Maquinaria, Instalaciones y Utillaje",1.0,130,2,10000.0,0.0,10000.0,3659.63
1.0,130,21400,130/21400,Reparación Vehículos Policía Municipal,1.0,130,2,1500.0,0.0,1500.0,1550.1
1.0,130,22000,130/22000,Material Oficina Policía Municipal,1.0,130,2,1000.0,0.0,1000.0,474.64
1.0,130,22100,130/22100,Suministro de Energía Eléctrica CPC,1.0,130,2,12000.0,0.0,12000.0,3215.16
1.0,130,22101,130/22101,Suministros Agua Admon CPC,1.0,130,2,1000.0,0.0,1000.0,726.74
1.0,130,22103,130/22103,REM Combustibles y Carburantes,1.0,130,2,0.0,1932.32,1932.32,1932.32
1.0,130,22103,130/22103,Combustibles y Carburantes,1.0,130,2,7500.0,0.0,7500.0,4123.71
1.0,130,22104,130/22104,Vestuario de Policia Municipal,1.0,130,2,3000.0,0.0,3000.0,92.75
1.0,130,22110,130/22110,Productos Limpieza Centro de Proteccion Ciudadana,1.0,130,2,0.0,0.0,0.0,236.56
1.0,130,22199,130/22199,Suministros Varios Policia Local,1.0,130,2,0.0,26.4,26.4,13.2
1.0,130,22199,130/22199,Suministros Varios Policia Local,1.0,130,2,3500.0,0.0,3500.0,638.89
1.0,130,22200,130/22200,Comunicaciones telefónicas Policia Local,1.0,130,2,7000.0,0.0,7000.0,2011.27
1.0,130,22400,130/22400,Primas Seguros Policia,1.0,130,2,900.0,0.0,900.0,0.0
1.0,130,22401,130/22401,Seguro Vehículos Policía Local,1.0,130,2,3000.0,0.0,3000.0,977.39
1.0,130,22700,130/22700,Servicios limpieza  Policia,1.0,130,2,1000.0,0.0,1000.0,0.0
1.0,130,22700,130/22700,Servicios limpieza  Policia,1.0,130,2,0.0,617.1,617.1,617.1
1.0,130,22701,130/22701,Contratos de Seguridada Policia Local,1.0,130,2,9000.0,0.0,9000.0,547.17
1.0,130,22719,130/22719,Servicio retirada de vehiculos,1.0,130,2,16800.0,0.0,16800.0,10587.5
1.0,130,23020,130/23020,Dietas personal  Policia,1.0,130,2,1000.0,0.0,1000.0,0.0
1.0,130,23120,130/23120,Gastos Locomocion Personal,1.0,130,2,1000.0,0.0,1000.0,0.0
1.0,130,62500,130/62500,Mobiliario y enseres Policia Local,1.0,130,6,0.0,0.0,0.0,0.0
1.0,132,12000,132/12000,Retribuciones Básicas Policia Local Bescam,1.0,132,1,200000.0,0.0,200000.0,0.0
1.0,132,12004,132/12004,Retribuciones Básicas Policia Local Bescam C2,1.0,132,1,0.0,0.0,0.0,110640.71
1.0,132,12006,132/12006,Trienios  Policia Local Bescam,1.0,132,1,0.0,0.0,0.0,13195.35
1.0,132,12100,132/12100,Retribuciones Complementarias Policia Local  Bescam ( Destino),1.0,132,1,473559.61,0.0,473559.61,64671.68
1.0,132,12101,132/12101,Retribuciones Complementarias Policia Local  Bescam ( Especifico),1.0,132,1,0.0,0.0,0.0,234720.17
1.0,132,15100,132/15100,Gratificaciones Policía Municipal Bescam,1.0,132,1,5000.0,0.0,5000.0,835.86
1.0,132,16000,132/16000,Seguridad Social Policía Municipal Bescam,1.0,132,1,184900.0,0.0,184900.0,109608.85
1.0,132,21400,132/21400,Reparación Vehículos  Bescam,1.0,132,2,9000.0,0.0,9000.0,3452.23
1.0,132,22104,132/22104,Vestuario de Policia Municipal  Bescam Dotaciones,1.0,132,2,6000.0,0.0,6000.0,0.0
1.0,132,22401,132/22401,Primas de Seguros Vehículos Bescam,1.0,132,2,5500.0,0.0,5500.0,3259.78
1.0,132,23020,132/23020,Dietas personal  Policia,1.0,132,2,2000.0,0.0,2000.0,0.0
1.0,132,23120,132/23120,Gastos Locomocion Personal,1.0,132,2,1000.0,0.0,1000.0,655.9
1.0,133,62200,133/62200,IFS Acondicionamiento Estacionamiento Edificio Roseles,1.0,133,6,0.0,1795318.01,1795318.01,0.0
1.0,133,62201,133/62201,Acondicionamiento Estacionamiento Edificio Roseles,1.0,133,6,0.0,600000.0,600000.0,0.0
1.0,135,12000,135/12000,Retribuciones Básicas Funcionarios Protección Civi,1.0,135,1,18000.0,0.0,18000.0,0.0
1.0,135,12001,135/12001,Retribuciones Básicas Funcionarios Protección Civi,1.0,135,1,0.0,0.0,0.0,9909.87
1.0,135,12006,135/12006,Retribuciones Trienios Funcionarios Protección Civi,1.0,135,1,0.0,0.0,0.0,3236.4
1.0,135,12100,135/12100,Retribuciones Complem Funcionarios Protección Civil ( Destino),1.0,135,1,22200.0,0.0,22200.0,5415.19
1.0,135,12101,135/12101,Retribuciones Complem Funcionarios Protección Civi ( Especifico),1.0,135,1,0.0,0.0,0.0,10790.62
1.0,135,13100,135/13100,Retribuciones Personal Laboral Temporal,1.0,135,1,13500.0,0.0,13500.0,0.0
1.0,135,16000,135/16000,Cuotas Sociales,1.0,135,1,15458.0,0.0,15458.0,8632.99
1.0,135,21300,135/21300,Reparación Maquinaria y Utillaje,1.0,135,2,2000.0,0.0,2000.0,0.0
1.0,135,21400,135/21400,Reparación Vehículos,1.0,135,2,5000.0,0.0,5000.0,2558.15
1.0,135,21400,135/21400,REMReparación Vehículos,1.0,135,2,0.0,3993.0,3993.0,3993.0
1.0,135,22000,135/22000,Material Protección Civil,1.0,135,2,7000.0,0.0,7000.0,364.48
1.0,135,22103,135/22103,Combustibles y Carburantes,1.0,135,2,2000.0,0.0,2000.0,1496.84
1.0,135,22104,135/22104,Suministro de Vestuario Proteción Civil,1.0,135,2,5000.0,0.0,5000.0,519.7
1.0,135,22110,135/22110,Suministro de productos de Limpieza,1.0,135,2,0.0,0.0,0.0,0.0
1.0,135,22199,135/22199,Suministros Varios,1.0,135,2,1000.0,0.0,1000.0,1820.78
1.0,135,22200,135/22200,Comunicaciones Telefonicas Proteción Civil,1.0,135,2,1000.0,0.0,1000.0,697.44
1.0,135,22401,135/22401,Primas de Seguros Vehículos Protección Civil,1.0,135,2,6600.0,0.0,6600.0,4472.75
1.0,135,22402,135/22402,Seg Responsabilidad Civil Unidad Canina,1.0,135,2,800.0,0.0,800.0,0.0
1.0,135,22404,135/22404,Primas de Seguros Accidentes Protección Civil,1.0,135,2,1500.0,0.0,1500.0,771.71
1.0,135,22706,135/22706,Servicios TecnicosProtecion Civil. Contratos Formación,1.0,135,2,1500.0,0.0,1500.0,0.0
1.0,135,23020,135/23020,Gastos Manutencion Voluntariado,1.0,135,2,0.0,575.0,575.0,0.0
1.0,135,23020,135/23020,Gastos Manutencion Voluntariado,1.0,135,2,2000.0,0.0,2000.0,355.42
1.0,135,62300,135/62300,Maquinaria e Instalaciones Proteccion Civil,1.0,135,6,0.0,0.0,0.0,0.0
1.0,135,62300,135/62300,REM Maquinaria e Instalaciones Proteccion Civil,1.0,135,6,0.0,8999.98,8999.98,8999.98
1.0,151,10000,151/10000,Retribuciones Altos Cargos,1.0,151,1,40000.0,1000.0,41000.0,28777.93
1.0,151,12000,151/12000,Retribuciones Básicas Funcionarios Urbanismo,1.0,151,1,80000.0,0.0,80000.0,23318.78
1.0,151,12001,151/12001,Retribuciones Básicas Funcionarios Urbanismo A1,1.0,151,1,0.0,0.0,0.0,9909.87
1.0,151,12003,151/12003,Retribuciones Básicas. Sueldo Grupo C1,1.0,151,1,0.0,0.0,0.0,7543.8
1.0,151,12004,151/12004,Retribuciones Básicas Urbanismo C2,1.0,151,1,0.0,0.0,0.0,1912.71
1.0,151,12006,151/12006,Retribuciones Básicas. Trienios,1.0,151,1,0.0,0.0,0.0,10565.02
1.0,151,12100,151/12100,Retribuciones Complem Funcionarios Urbanismo,1.0,151,1,95000.0,7910.0,102910.0,26364.84
1.0,151,12101,151/12101,Retribuciones Complem Funcionarios Urbanismo ( Especifico),1.0,151,1,0.0,0.0,0.0,47307.71
1.0,151,16000,151/16000,Seguros Sociales Personal Urbanismo,1.0,151,1,52359.99,5472.67,57832.66,42452.02
1.0,151,21300,151/21300,Mantenimiento de Instalaciones y Utillaje,1.0,151,2,500.0,0.0,500.0,0.0
1.0,151,22001,151/22001,Publicaciones y Revistas Urbanismo,1.0,151,2,5300.0,0.0,5300.0,0.0
