#Org,Prog,Econ,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,011,31000,Intereses de Deuda Pública de Operaciones de Créd,1,011,3,90000,0,90000,52951.67
,011,31001,Intereses de Deuda a Corto Plazo,2,011,3,117000,0,117000,111082.91
,011,31100,Gastos de Apertura de Operaciones de Crédito,3,011,3,0,0,0,4000
,011,35200,Intereses de Demora Generales,4,011,3,20000,-8800,11200,16.58
,011,91300,Amortización Prestamo Caja de  Madrid ,5,011,9,340000,8800,348800,348744.85
,130,11000,Retribuciones Personal Event.Gabinete,6,130,1,16576,0,16576,15391.22
,130,12000,Retribuciones Básicas Policia Local ,7,130,1,101071.92,-15000,86071.92,84254.85
,130,12100,Retribuciones Complementarias Policia Local ,8,130,1,299300,-25000,274300,248036.26
,130,13000,Retribuciones Personal Laboral Fijo,9,130,1,19200,0,19200,21012.69
,130,15100,Gratificaciones Policía Municipal,10,130,1,2000,0,2000,87.2
,130,16000,Seguridad Social Policía Municipal,11,130,1,128245,-10000,118245,118226.45
,130,20400,Arrendamiento de Transporte,12,130,2,0,0,0,896.77
,130,21200,Reparación y Mantenimiento Edificios,13,130,2,2000,0,2000,4268.15
,130,21300,"Reparación Maquinaria, Instalaciones y Utillaje",14,130,2,17139.08,0,17139.08,18750.22
,130,21400,Reparación Vehículos Policía Municipal,15,130,2,2000,0,2000,2275.63
,130,22000,Material Oficina Policía Municipal,16,130,2,2500,0,2500,649.61
,130,22100,Energía Eléctrica,17,130,2,10000,0,10000,8657.86
,130,22101,Suministros Agua Admon CPC,18,130,2,700,0,700,841.58
,130,22103,Combustibles y Carburantes,19,130,2,6200,0,6200,6961.56
,130,22104,Vestuario de Policia Municipal ,20,130,2,5500,0,5500,3014.24
,130,22199,Suministros Varios Policia Local,21,130,2,2000,0,2000,3248.22
