#Org,Prog,Econ,CÓDIGO PARTIDA,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
1.0,151,10000,151/10000,Retribuciones Altos Cargos,151,10000,1,27700.0,0.0,27700.0,39999.96
1.0,135,10000,135/10000,RetribucionesOrganos de Gobierno Protección Civi,135,10000,1,6735.0,-5376.98,1358.02,1358.02
1.0,912,10000,912/10000,Retribuciones Altos Cargos,912,10000,9,112735.11,0.0,112735.11,108643.89
1.0,230,10000,230/10000,Retribuciones Altos Cargos,230,10000,2,27241.2,0.0,27241.2,19479.62
1.0,334,10000,334/10000,Retribuciones Altos Cargos,334,10000,3,20000.0,0.0,20000.0,17142.89
1.0,432,10000,432/10000,RetribucionesOrganos de Gobierno,432,10000,4,16000.0,0.0,16000.0,16000.03
1.0,320,10000,320/10000,Retribuciones Altos Cargos,320,10000,3,20000.0,0.0,20000.0,22857.17
1.0,340,10000,340/10000,Retribuciones Altos Cargos,340,10000,3,6700.0,-6700.0,0.0,0.0
1.0,241,10000,241/10000,RetribucionesOrganos de Gobierno Empleo y Desarrollo,241,10000,2,22100.0,0.0,22100.0,20619.01
1.0,151,11000,151/11000,Retribuciones Personal Event.Gabinete,151,11000,1,10000.0,0.0,10000.0,0.0
1.0,912,11000,912/11000,Retribuciones Personal Event.Gabinete,912,11000,9,48392.43,0.0,48392.43,46714.4
1.0,925,12000,925/12000,Retribuciones Basicas Funcionarios de Carrera,925,12000,9,54500.0,0.0,54500.0,0.0
1.0,334,12000,334/12000,Retribuciones Básicas Funcionarios,334,12000,3,22000.0,-2000.0,20000.0,0.0
1.0,151,12000,151/12000,Retribuciones Básicas Funcionarios Urbanismo,151,12000,1,74000.0,0.0,74000.0,22521.87
1.0,135,12000,135/12000,Retribuciones Básicas Funcionarios Protección Civi,135,12000,1,18040.0,0.0,18040.0,0.0
1.0,912,12000,912/12000,Retribuciones Básicas Funcionarios,912,12000,9,12900.0,0.0,12900.0,0.0
1.0,340,12000,340/12000,Retribuciones Basicas Funcionarios,340,12000,3,23900.0,-7000.0,16900.0,0.0
1.0,332,12000,3321/12000,Retribuciones  Basicas Funcionarios Biblioteca,332,12000,3,55000.0,-7500.0,47500.0,0.0
1.0,132,12000,132/12000,Retribuciones Básicas Policia Local Bescam,132,12000,1,204000.0,-7000.0,197000.0,0.0
1.0,130,12000,130/12000,Retribuciones Básicas Policia Local,130,12000,1,102200.0,-35000.0,67200.0,0.0
1.0,931,12000,931/12000,Retribuciones Basicas Funcionarios de Carrera,931,12000,9,138000.0,0.0,138000.0,7486.29
1.0,920,12000,920/12000,Retribuciones Basicas Funcionarios de Carrera,920,12000,9,123857.0,0.0,123857.0,0.0
1.0,151,12001,151/12001,Retribuciones Básicas Funcionarios Urbanismo A1,151,12001,1,0.0,0.0,0.0,13787.56
1.0,241,12001,241/12001,Retribuciones Básicas Funcionarios  A2,241,12001,2,17020.48,0.0,17020.48,0.0
1.0,332,12001,3321/12001,Retribuciones  Basicas Funcionarios Biblioteca A2,332,12001,3,0.0,0.0,0.0,14655.6
1.0,135,12001,135/12001,Retribuciones Básicas Funcionarios Protección Civi,135,12001,1,0.0,0.0,0.0,8257.96
1.0,931,12001,931/12001,Retribuciones Basicas Funcionarios de Carrera A1,931,12001,9,0.0,0.0,0.0,28939.05
1.0,920,12001,920/12001,Retribuciones Basicas Funcionarios de Carrera A1,920,12001,9,0.0,0.0,0.0,31548.33
1.0,332,12002,3321/12002,Retribuciones  Basicas Funcionarios Biblioteca A2,332,12002,3,0.0,0.0,0.0,5901.65
1.0,151,12002,151/12002,Retribuciones Básicas Funcionarios Urbanismo A2,151,12002,1,0.0,0.0,0.0,5545.2
1.0,920,12002,920/12002,Retribuciones Basicas Funcionarios de Carrera A2,920,12002,9,0.0,0.0,0.0,6209.75
1.0,241,12002,241/12002,Retribuciones  Basicas Funcionarios  A2,241,12002,2,0.0,0.0,0.0,5976.05
1.0,931,12002,931/12002,Retribuciones Basicas Funcionarios de Carrera A2,931,12002,9,0.0,0.0,0.0,6432.85
1.0,931,12003,931/12003,Retribuciones Basicas Funcionarios de Carrera C1,931,12003,9,0.0,0.0,0.0,43377.54
1.0,912,12003,912/12003,Retribuciones Básicas Funcionarios C1,912,12003,9,0.0,0.0,0.0,10698.24
1.0,925,12003,925/12003,Retribuciones Basicas Funcionarios de Carrera C1,925,12003,9,0.0,0.0,0.0,26698.23
1.0,332,12003,3321/12003,Retribuciones  Basicas Funcionarios Biblioteca C1,332,12003,3,0.0,0.0,0.0,14580.0
1.0,920,12003,920/12003,Retribuciones Basicas Funcionarios de Carrera C1,920,12003,9,0.0,0.0,0.0,35217.35
1.0,135,12003,135/12003,Retribuciones Básicas Func Protección Civi C1,135,12003,1,0.0,0.0,0.0,6247.65
1.0,334,12003,334/12003,Retribuciones Básicas Funcionarios C1,334,12003,3,0.0,0.0,0.0,15177.1
1.0,151,12003,151/12003,Retribuciones Básicas Funcionarios Urbanismo C1,151,12003,1,0.0,0.0,0.0,14887.26
1.0,332,12004,3321/12004,Retribuciones  Basicas Funcionarios Biblioteca C2,332,12004,3,0.0,0.0,0.0,7936.7
1.0,334,12004,334/12004,Retribuciones Básicas Funcionarios C2,334,12004,3,0.0,0.0,0.0,3026.25
