#Org,Prog,Econ,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
1.0,171,62300,Inversiones en Maqunaria y Enseres,1.0,171,6,0.0,418.94,418.94,418.94
1.0,320,22609,Actividades  Educativas,1.0,320,2,0.0,0.0,0.0,825.0
1.0,920,22104,Vestuario de Administracion,1.0,920,2,0.0,0.0,0.0,27.32
1.0,171,22721,Contrato Serv Reposición Arbolado Urbano,1.0,171,2,0.0,0.0,0.0,0.0
1.0,920,62500,Equipamientos Mobiliario,1.0,920,6,0.0,0.0,0.0,1156.76
1.0,151,22199,Otros suministros,1.0,151,2,0.0,0.0,0.0,0.0
1.0,171,22699,Gastos Diversos Medio Ambiente,1.0,171,2,0.0,0.0,0.0,134.16
1.0,320,23120,Gastos Locomocion Personal,1.0,320,2,0.0,0.0,0.0,1.95
1.0,430,22610,REM-Actividades Fomento de Comercio Local,1.0,430,2,0.0,10777.86,10777.86,9177.86
1.0,912,48900,REM-Asignacion Grupos municipales,1.0,912,4,0.0,3000.0,3000.0,0.0
1.0,920,21300,REM-Reparacion Maquinaria e Instalaciones,1.0,920,2,0.0,416.32,416.32,0.0
1.0,920,21600,REM-Mantenimiento de Equipos Informaticos,1.0,920,2,0.0,4698.08,4698.08,0.0
1.0,920,21601,REM-Mantenimiento de  Programas Informaticos,1.0,920,2,0.0,1372.14,1372.14,0.0
1.0,920,22709,REM-Mantenimiento y Gestion Servicios financieros,1.0,920,2,0.0,129.86,129.86,129.86
1.0,920,22710,REM-Contrato de Asistencia Juridica y Letrada,1.0,920,2,0.0,998.25,998.25,998.25
1.0,920,22721,REM-Servicio de Auditoria de Gestión y Económica,1.0,920,2,0.0,28979.5,28979.5,0.0
1.0,920,62600,REM-Inversiones en Equipos Informáticos,1.0,920,6,0.0,50735.21,50735.21,5998.78
1.0,933,62200,REM-IFS-Reposicion BIenes Educativos,1.0,933,6,0.0,230603.99,230603.99,107915.39
1.0,171,22605,Gastos  de  Comunicación Medio Ambiente,1.0,171,2,0.0,0.0,0.0,2000.0
1.0,241,22718,Contratos de servicios de Formación,1.0,241,2,0.0,0.0,0.0,0.0
1.0,130,12004,Retribuciones Básicas Policia Local  Grupo C2,1.0,130,1,0.0,0.0,0.0,16082.98
1.0,132,12004,Retribuciones Básicas Policia Local Bescam C2,1.0,132,1,0.0,0.0,0.0,34298.44
1.0,151,12003,Retribuciones Básicas Funcionarios Urbanismo C1,1.0,151,1,0.0,0.0,0.0,5083.14
1.0,151,12002,Retribuciones Básicas Funcionarios Urbanismo A2,1.0,151,1,0.0,0.0,0.0,3327.12
1.0,151,12001,Retribuciones Básicas Funcionarios Urbanismo A1,1.0,151,1,0.0,0.0,0.0,4322.73
1.0,151,12004,Retribuciones Básicas Funcionarios Urbanismo C2,1.0,151,1,0.0,0.0,0.0,2391.6
1.0,241,13101,Retribuciones Contratos de Formacion,1.0,241,1,0.0,0.0,0.0,81986.33
1.0,241,12002,Retribuciones  Basicas Funcionarios  A2,1.0,241,1,0.0,0.0,0.0,3585.63
1.0,332,12002,Retribuciones  Basicas Funcionarios Biblioteca A2,1.0,332,1,0.0,0.0,0.0,3540.99
1.0,332,12003,Retribuciones  Basicas Funcionarios Biblioteca C1,1.0,332,1,0.0,0.0,0.0,1663.95
1.0,332,12004,Retribuciones  Basicas Funcionarios Biblioteca C2,1.0,332,1,0.0,0.0,0.0,4762.02
1.0,334,12004,Retribuciones Básicas Funcionarios C2,1.0,334,1,0.0,0.0,0.0,1815.75
1.0,334,12003,Retribuciones Básicas Funcionarios C1,1.0,334,1,0.0,0.0,0.0,3445.27
1.0,340,12004,Retribuciones Básicas Funcionarios C2,1.0,340,1,0.0,0.0,0.0,3797.73
1.0,340,13100,Retribuciones Personal Laboral Temporal,1.0,340,1,0.0,0.0,0.0,16226.01
1.0,912,12003,Retribuciones Básicas Funcionarios C1,1.0,912,1,0.0,0.0,0.0,2580.36
1.0,920,12001,Retribuciones Basicas Funcionarios de Carrera A1,1.0,920,1,0.0,0.0,0.0,4064.67
1.0,920,12003,Retribuciones Basicas Funcionarios de Carrera C1,1.0,920,1,0.0,0.0,0.0,5576.31
1.0,920,12004,Retribuciones Basicas Funcionarios de Carrera C2,1.0,920,1,0.0,0.0,0.0,5625.6
1.0,920,12005,Retribuciones Basicas Funcionarios de Carrera E,1.0,920,1,0.0,0.0,0.0,1379.02
1.0,920,12002,Retribuciones Basicas Funcionarios de Carrera A2,1.0,920,1,0.0,0.0,0.0,3725.85
1.0,925,12004,Retribuciones Basicas Funcionarios de Carrera C2,1.0,925,1,0.0,0.0,0.0,8239.32
1.0,925,12003,Retribuciones Basicas Funcionarios de Carrera C1,1.0,925,1,0.0,0.0,0.0,2717.52
1.0,931,12003,Retribuciones Basicas Funcionarios de Carrera C1,1.0,931,1,0.0,0.0,0.0,12299.1
1.0,931,12004,Retribuciones Basicas Funcionarios de Carrera C2,1.0,931,1,0.0,0.0,0.0,4710.42
1.0,931,12005,Retribuciones Basicas Funcionarios de Carrera E,1.0,931,1,0.0,0.0,0.0,1825.17
1.0,931,12002,Retribuciones Basicas Funcionarios de Carrera A2,1.0,931,1,0.0,0.0,0.0,3859.71
1.0,931,12001,Retribuciones Basicas Funcionarios de Carrera A1,1.0,931,1,0.0,0.0,0.0,3853.95
1.0,340,23120,Gastos Locomocion Personal,1.0,340,2,0.0,0.0,0.0,350.32
1.0,241,23120,Gastos Locomocion Personal,1.0,241,2,0.0,0.0,0.0,101.61
1.0,241,16001,Cuots Sociales Personal,1.0,241,1,0.0,0.0,0.0,14093.7
1.0,924,22706,Contrato Prestación Servicios. Implementación Participación Ciudadana,1.0,924,2,0.0,0.0,0.0,0.0
1.0,135,23120,Gastos Locomocion Personal,1.0,135,2,0.0,0.0,0.0,0.0
1.0,130,22701,Contratos de Seguridada Policia Local,1.0,130,2,0.0,0.0,0.0,0.0
1.0,135,12003,Retribuciones Básicas Func Protección Civi C1,1.0,135,1,0.0,0.0,0.0,3748.59
1.0,151,21300,Mantenimiento de Instalaciones y Utillaje,1.0,151,2,0.0,0.0,0.0,0.0
1.0,337,21300,Reparacion maquinaria e instalac. Plaza de Toros,1.0,337,2,0.0,0.0,0.0,776.71
1.0,230,22601,Actividades Bienestar Social,1.0,230,2,0.0,0.0,0.0,0.0
1.0,920,21300,Reparacion Maquinaria e Instalaciones,1.0,920,2,3636.49,0.0,3636.49,1138.7
1.0,920,21301,Reparacion Relosj Casa Consistorial,1.0,920,2,700.0,0.0,700.0,0.0
