#Org,Prog,Econ,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
,011,31000,Intereses de Deuda Pública de Operaciones de Créd,1,011,3,45000,-8000,37000,19503.16
,011,31001,Intereses de Deuda a Corto Plazo,2,011,3,150000,0,150000,6033.18
,011,31100,Gastos de Apertura de Operaciones de Crédito,3,011,3,10000,0,10000,0
,011,35200,Intereses de Demora Generales,4,011,3,10000,0,10000,4978.54
,011,91300,Amortización Prestamo Caja de  Madrid ,5,011,9,360000,8000,368000,366168.95
,130,11000,Retribuciones Personal Event.Gabinete,6,130,1,17399.2,0,17399.2,17399.2
,130,12000,Retribuciones Básicas Policia Local ,7,130,1,81000,0,81000,71254.1
,130,12100,Retribuciones Complementarias Policia Local ,8,130,1,266000,-34249.3,231750.7,233029.53
,130,13000,Retribuciones Personal Laboral Fijo,9,130,1,34000,0,34000,31448.03
,130,15100,Gratificaciones Policía Municipal,10,130,1,2000,0,2000,0
,130,16000,Seguridad Social Policía Municipal,11,130,1,120000,0,120000,112589.22
,130,21200,Reparación y Mantenimiento Edificios,12,130,2,2000,0,2000,2258.16
,130,21300,"Reparación Maquinaria, Instalaciones y Utillaje",13,130,2,17139.08,-4500,12639.08,14137.83
,130,21400,Reparación Vehículos Policía Municipal,14,130,2,2500,-1200,1300,2717.28
,130,22000,Material Oficina Policía Municipal,15,130,2,2000,0,2000,249.95
,130,22100,Energía Eléctrica,16,130,2,8000,0,8000,7643.24
,130,22101,Suministros Agua Admon CPC,17,130,2,900,0,900,901.02
,130,22103,Combustibles y Carburantes,18,130,2,8000,-2000,6000,4907.59
,130,22104,Vestuario de Policia Municipal ,19,130,2,4000,0,4000,3619.3
,130,22199,Suministros Varios Policia Local,20,130,2,2000,0,2000,1117.11
,130,22200,Comunicaciones telefónicas Policia Local,21,130,2,6500,0,6500,10709.02
,130,22400,Primas Seguros Policia,22,130,2,1500,0,1500,1273.61
,130,22401,Seguro Vehículos Policía Local,23,130,2,1000,0,1000,826.73
,130,22706,Gestion Servicios GPS,24,130,2,1000,0,1000,0
,130,22719,Servicio retirada de vehiculos,25,130,2,15000,0,15000,4970.04
,130,23020,Dietas personal  Policia,26,130,2,800,0,800,528.71
