#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2013.0,,11200,Impuesto sobre Bienes Inmuebles Rústica,705.0,0.0,705.0,674.55
2013.0,,11300,Impuesto sobre Bienes Inmuebles Nat. Urbana,3718000.0,0.0,3718000.0,3590143.03
2013.0,,11500,Impuesto sobre Vehiculos de Tracción Mecanica,800000.0,0.0,800000.0,770019.71
2013.0,,11600,Impuesto Incremento Valor Terrenos Urbanos,275000.0,0.0,275000.0,500341.31
2013.0,,13000,Impuesto sobre Actividades Económicas,100000.0,0.0,100000.0,72872.98
2013.0,,29000,"Impuesto sobre Construcciones, Instalaciones y Obr",70000.0,0.0,70000.0,98540.81
2013.0,,30000,Tasa Suministro de Agua Potable a Domici,350000.0,0.0,350000.0,334442.11
2013.0,,30100,Tasa  Licencia  y Servicio de Alcantarillado,310000.0,0.0,310000.0,313395.71
2013.0,,30200,Tasa Servicio de Recogida de  Basuras,525000.0,0.0,525000.0,533366.85
2013.0,,31000,Tasa por Servicios Sanitario de Protección Civil ,1000.0,0.0,1000.0,3173.1
2013.0,,31305,Tasa Talleres Biblioteca,1500.0,0.0,1500.0,1340.6
2013.0,,31900,Tasa de Servicios Funerarios y Cementerios,13500.0,0.0,13500.0,15988.0
2013.0,,32100,Tasa  Licencias Urbanisticas,60000.0,0.0,60000.0,95942.52
2013.0,,32300,Tasa Licencia de Apertura y Actividad,22000.0,0.0,22000.0,14316.5
2013.0,,32500,Tasa Expedición de Documentos,5000.0,0.0,5000.0,3862.7
2013.0,,32600,Tasa Retirada de Vehiculos de la Vía Pública,15000.0,0.0,15000.0,19552.45
2013.0,,33000,Tasa  Aparcamiento  Regulado ,6000.0,0.0,6000.0,4075.3
2013.0,,33100,"Tasa  Uso Suelo, Enrtrada de Vehículos Aceras",15000.0,0.0,15000.0,14628.67
2013.0,,33200,"Tasa  Uso Suelo, Subsuelo y Vuelo Compañias Sumini",110000.0,0.0,110000.0,103559.82
2013.0,,33600,Tasa  Venta Ambulante Semanal,18000.0,0.0,18000.0,21055.7
2013.0,,33601,"Tasa  Uso Suelo, con Mesas y sillas  finalidad luc",27000.0,0.0,27000.0,27689.02
2013.0,,33602,"Tasa  Uso Suelo, con Contenedores y Meterial Const",6000.0,0.0,6000.0,1995.71
2013.0,,33701,Tasa  Carteles a la Vía Pública,15000.0,0.0,15000.0,475.0
2013.0,,33800,Compensación Telefónica de España SA,47000.0,0.0,47000.0,32396.25
2013.0,,33900,Tasa por Utilización de Instalaciones Municipales,7183.65,0.0,7183.65,2710.0
2013.0,,34200,Servicios  Escuelas impartidas en Casa de Cultura,195000.0,0.0,195000.0,176172.2
2013.0,,34203,Prec Publicos Actividades Serv Sociales,2000.0,0.0,2000.0,3042.0
2013.0,,34300,Precio P. Actividades Cursos Deportivos,415000.0,0.0,415000.0,481695.65
2013.0,,34301,Precio P. Actividades Cursos Piscina Municipal,150000.0,0.0,150000.0,84072.01
2013.0,,34302,Precio P. Uso de Instalaciones Deportivas,80000.0,0.0,80000.0,72046.18
2013.0,,34303,Precio P. Uso de Instalaciones Piscina Municipal,80000.0,0.0,80000.0,54743.34
2013.0,,34400,Preci Patrimonial Ferias Comercio Local ,40000.0,0.0,40000.0,16167.68
2013.0,,34401,Prec Publico Fiestas Locales,80000.0,0.0,80000.0,88407.35
2013.0,,34402,Precio Publico Actividades Juveniles,0.0,0.0,0.0,1620.0
2013.0,,34403,Entradas Teatro Municipal ,30000.0,0.0,30000.0,24886.0
2013.0,,34405,Precio Publico Publicidad  Moralzarzal Televisión,480.0,0.0,480.0,0.0
2013.0,,34900,Convenio Ecoembes Basura selectiva,60000.0,0.0,60000.0,50522.6
2013.0,,38901,Reintegro de Gastos,0.0,41610.0,41610.0,791433.45
2013.0,,38902,Reintegro de Gastos Cerrados,0.0,0.0,0.0,6921.52
2013.0,,39120,Multas por infracciones Ordenanza de Circulación,0.0,0.0,0.0,43.82
2013.0,,39190,Multas Administrativas Generales,70000.0,0.0,70000.0,81843.3
2013.0,,39211,Recargos de Apremio,50000.0,0.0,50000.0,128104.7
2013.0,,39300,Intereses de Demora,40000.0,0.0,40000.0,63549.9
2013.0,,39301,Reintegro de Gastos Procedimientos Ejecutivos,22000.0,0.0,22000.0,17839.72
2013.0,,39610,Cuotas de Urbanización Iniciativa Pública,3241222.58,0.0,3241222.58,0.0
2013.0,,39700,Aprovechamientos Urbanisticos,0.0,0.0,0.0,665.46
2013.0,,39900,Imprevistos,500.0,0.0,500.0,6521.01
2013.0,,42000,Participación Tributos del Estado,1750000.0,0.0,1750000.0,1833464.93
