#Org,Prog,Econ,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
1,011,31000,Intereses de Deuda Pública de Operaciones de Créd,1,011,3,20000,-9000,11000,10321.11
1,011,31001,Intereses de Deuda a Corto Plazo,1,011,3,55419.66,-54000,1419.66,1286.64
1,011,31100,Gastos de Apertura de Operaciones de Crédito,1,011,3,5000,-2000,3000,0
1,011,35200,Intereses de Demora Generales,1,011,3,10000,0,10000,59.47
1,011,91300,Amortización Prestamo Caja de  Madrid ,1,011,9,370000,65000,435000,425915.08
1,130,11000,Retribuciones Personal Event.Gabinete,1,130,1,8699.6,-1009.92,7689.68,7689.68
1,130,12000,Retribuciones Básicas Policia Local ,1,130,1,81000,0,81000,0
1,130,12003,Retribuciones Básicas Policia Local  Grupo C1,1,130,1,0,0,0,10047.63
1,130,12004,Retribuciones Básicas Policia Local  Grupo C2,1,130,1,0,0,0,55801.08
1,130,12100,Retribuciones Complementarias Policia Local ,1,130,1,241407.23,0,241407.23,232464.63
1,130,13000,Retribuciones Personal Laboral Fijo,1,130,1,23000,0,23000,21797.79
1,130,15100,Gratificaciones Policía Municipal,1,130,1,2000,0,2000,276.02
1,130,16000,Seguridad Social Policía Municipal,1,130,1,110000,0,110000,101377.34
1,130,20400,Alquiler de Vehiculos Policia Local,1,130,2,0,0,0,150.91
1,130,21200,Reparación y Mantenimiento Edificios,1,130,2,3000,0,3000,219.56
1,130,21300,"Reparación Maquinaria, Instalaciones y Utillaje",1,130,2,16500,0,16500,15400.21
1,130,21400,Reparación Vehículos Policía Municipal,1,130,2,1000,0,1000,1815.44
1,130,22000,Material Oficina Policía Municipal,1,130,2,2000,0,2000,363
1,130,22100,Energía Eléctrica,1,130,2,11000,0,11000,7003.67
1,130,22101,Suministros Agua Admon CPC,1,130,2,900,0,900,1001.68
1,130,22103,Combustibles y Carburantes,1,130,2,7500,0,7500,3449.15
1,130,22104,Vestuario de Policia Municipal ,1,130,2,4000,0,4000,4185.6
1,130,22199,Suministros Varios Policia Local,1,130,2,2000,0,2000,3692.61
1,130,22200,Comunicaciones telefónicas Policia Local,1,130,2,9000,0,9000,7984.13
1,130,22400,Primas Seguros Policia,1,130,2,1500,0,1500,671.11
1,130,22401,Seguro Vehículos Policía Local,1,130,2,1000,0,1000,798.35
1,130,22700,Servicios limpieza  Policia,1,130,2,13000,0,13000,11331.65
1,130,22701,Contratos de Seguridada Policia Local,1,130,2,0,0,0,373.89
1,130,22719,Servicio retirada de vehiculos,1,130,2,15000,0,15000,3780.54
1,130,23020,Dietas personal  Policia,1,130,2,800,0,800,464.02
1,130,23120,Gastos Locomocion Personal,1,130,2,500,0,500,507.25
1,130,62201,Acondicionamiento Parque Seguridad Vial,1,130,6,22000,0,22000,0
1,130,62300,Inversiones Instalaciones. Aparato A.Acondicionado,1,130,6,2000,670,2670,2662
1,130,62301,Alarma Centro Proteccion Ciudadana,1,130,6,11000,0,11000,0
1,130,62501,Equipamiento Camaras Control Trafico,1,130,6,90000,0,90000,0
1,132,12000,Retribuciones Básicas Policia Local Bescam ,1,132,1,150000,0,150000,0
1,132,12004,Retribuciones Básicas Policia Local Bescam C2,1,132,1,0,0,0,144129.33
1,132,12100,Retribuciones Complementarias Policia Local  Besca,1,132,1,497000,0,497000,488473.53
1,132,15100,Gratificaciones Policía Municipal Bescam,1,132,1,4000,0,4000,614.27
1,132,16000,Seguridad Social Policía Municipal Bescam,1,132,1,182250,0,182250,181576.38
1,132,21400,Reparación Vehículos  Bescam,1,132,2,9450,0,9450,6310.33
1,132,22104,Vestuario de Policia Municipal  Bescam Dotaciones,1,132,2,7000,0,7000,6956
1,132,22401,Primas de Seguros Vehículos Bescam,1,132,2,7500,0,7500,7687.82
1,132,23020,Dietas personal  Policia,1,132,2,1200,0,1200,1602.78
1,132,23120,Gastos Locomocion Personal,1,132,2,600,0,600,678.03
1,135,12000,Retribuciones Básicas Funcionarios Protección Civi,1,135,1,16200,100,16300,0
1,135,12003,Retribuciones Básicas Func Protección Civi C1,1,135,1,0,0,0,14637.06
1,135,12100,Retribuciones Complem Funcionarios Protección Civi,1,135,1,22727.6,0,22727.6,24348.35
1,135,15100,Gratificaciones Serv Extincion Incendios,1,135,1,0,1250,1250,1250
1,135,16000,Cuotas Sociales ,1,135,1,10700,0,10700,10687.56
1,135,21300,Reparación Maquinaria y Utillaje,1,135,2,3700,-1350,2350,2033.72
1,135,21400,Reparación Vehículos ,1,135,2,3400,0,3400,3464.47
1,135,22000,Material Protección Civil,1,135,2,1000,0,1000,1975.98
1,135,22103,Combustibles y Carburantes,1,135,2,3500,0,3500,2190.63
1,135,22104,Suministro de Vestuario Proteción Civil,1,135,2,3000,0,3000,3500.51
