#Org,Prog,Econ,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
1.0,011,31000,Intereses de Deuda Pública de Operaciones de Créd,1.0,011,3,15000.0,0.0,15000.0,2174.44
1.0,011,31001,Intereses de Deuda a Corto Plazo,1.0,011,3,40000.0,0.0,40000.0,1474.76
1.0,011,31100,Gastos de Apertura de Operaciones de Crédito,1.0,011,3,4000.0,0.0,4000.0,0.0
1.0,011,35200,Intereses de Demora Generales,1.0,011,3,6000.0,0.0,6000.0,78.68
1.0,011,91300,Amortización Prestamo Caja de  Madrid,1.0,011,9,380000.0,0.0,380000.0,376061.55
1.0,130,11000,Retribuciones Personal Event.Gabinete,1.0,130,1,0.0,0.0,0.0,899.28
1.0,130,12000,Retribuciones Básicas Policia Local,1.0,130,1,97000.0,-2350.0,94650.0,131.9
1.0,130,12003,Retribuciones Básicas Policia Local  Grupo C1,1.0,130,1,0.0,0.0,0.0,2870.68
1.0,130,12004,Retribuciones Básicas Policia Local  Grupo C2,1.0,130,1,0.0,0.0,0.0,72981.78
1.0,130,12100,Retribuciones Complementarias Policia Local,1.0,130,1,235000.0,-9530.35,225469.65,221071.25
1.0,130,13000,Retribuciones Personal Laboral Fijo,1.0,130,1,22500.0,0.0,22500.0,17964.02
1.0,130,15100,Gratificaciones Policía Municipal,1.0,130,1,2000.0,0.0,2000.0,162.75
1.0,130,16000,Seguridad Social Policía Municipal,1.0,130,1,102000.0,0.0,102000.0,87577.4
1.0,130,21200,Reparación y Mantenimiento Edificios,1.0,130,2,3000.0,0.0,3000.0,3182.3
1.0,130,21300,"Reparación Maquinaria, Instalaciones y Utillaje",1.0,130,2,16000.0,0.0,16000.0,14205.36
1.0,130,21300,"Reparación Maquinaria, Instalaciones y Utillaje",1.0,130,2,0.0,1242.1,1242.1,830.63
1.0,130,21400,Reparación Vehículos Policía Municipal,1.0,130,2,1500.0,0.0,1500.0,1717.54
1.0,130,22000,Material Oficina Policía Municipal,1.0,130,2,2000.0,0.0,2000.0,59.0
1.0,130,22100,Energía Eléctrica,1.0,130,2,12000.0,-1500.0,10500.0,8242.14
1.0,130,22101,Suministros Agua Admon CPC,1.0,130,2,1200.0,0.0,1200.0,1046.37
1.0,130,22103,Combustibles y Carburantes,1.0,130,2,7500.0,0.0,7500.0,5902.91
